empresa,anio_iso,semana_iso,Fecha,periodo_m,tc_prom_mes,cpm_GADS,invest_GADS,Índice Estimador Mensual de Actividad Económica,IPC Prendas de vestir y calzado,Tasa de desocupación abierta,Índice de Confianza del Consumidor,invest_total_paid,evt_Dia de la Madre,Brecha Cambiaria (%),revenue_GADS,evt_Carnaval,bounce_rate_GA,evt_Navidad,average_sessions_durations_GA,Variación IPC (%) General,transactions_GADS,Índice Ventas en Supermercados y Shoppings,ticket_est_m,Ticket_promedio_num,evt_San Valentin,Variación Ventas en Supermercados y Shoppings,evt_Cyber Monday,evt_Hot Sale,evt_Dia del Padre,impressions_GADS,Variación Estimador Mensual de Actividad Económica,cpm_META,Costo_fijo_num,impressions_META,Margen_pct,evt_Semana Santa,evt_Black Friday,invest_META,ticket_usd,revenue_META,Salario real,transactions_GA,Ticket_promedio_usd,Costo_fijo_usd,ticket_est_usd,invest_META_usd,invest_GADS_usd,revenue_META_usd,revenue_GADS_usd,ticket_usd_original,invest_META_pesos,invest_GADS_pesos,revenue_META_pesos,revenue_GADS_pesos
MIDWAY,2024,1,2024-01-01,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,101.73796400352056,0,39.486,,0,,0,,20.6,0.0,81.0,55438.83679244342,94564.14,0,-1.3,0,0,0,0.0,0.3,0.2876179981214855,,353726.0,,0,0,101.73796400352056,82.951,542.4236630734324,13.71,0.0,82.951,,48.63055858986265,101.73796400352056,,542.4236630734324,,82.951,101.73796400352056,,542.4236630734324,
MIDWAY,2024,2,2024-01-08,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,90.9911043037181,0,39.486,,0,,0,,20.6,0.0,81.0,55438.83679244342,94564.14,0,-1.3,0,0,0,0.0,0.3,0.3394379860918217,,268064.0,,0,0,90.9911043037181,82.951,564.8847630544637,13.71,0.0,82.951,,48.63055858986265,90.9911043037181,,564.8847630544637,,82.951,90.9911043037181,,564.8847630544637,
MIDWAY,2024,3,2024-01-15,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,172.6174188034188,0,39.486,,0,,0,,20.6,0.0,81.0,55438.83679244342,94564.14,0,-1.3,0,0,0,0.0,0.3,0.3529012646807624,,489138.0,,0,0,172.6174188034188,82.951,1551.1632905982906,13.71,0.0,82.951,,48.63055858986265,172.6174188034188,,1551.1632905982906,,82.951,172.6174188034188,,1551.1632905982906,
MIDWAY,2024,4,2024-01-22,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,241.89382051282053,0,39.486,,0,,0,,20.6,0.0,81.0,55438.83679244342,94564.14,0,-1.3,0,0,0,0.0,0.3,0.3098969979486838,,780562.0,,0,0,241.89382051282053,82.951,940.6043931623932,13.71,0.0,82.951,,48.63055858986265,241.89382051282053,,940.6043931623932,,82.951,241.89382051282053,,940.6043931623932,
MIDWAY,2024,5,2024-01-29,2024-01-01,1140.0,,,143.8,11.9,7.7,35.6,244.47018834386893,0,39.486,,0,,0,,20.6,0.0,81.0,55438.83679244342,94564.14,0,-1.3,0,0,0,0.0,0.3,0.3481950590777031,,702107.0,,0,0,244.47018834386893,82.951,1261.9886749014136,13.71,0.0,82.951,,48.63055858986265,244.47018834386893,,1261.9886749014136,,82.951,244.47018834386893,,1261.9886749014136,
MIDWAY,2024,6,2024-02-05,2024-02-01,1108.448275862069,,,143.7,7.2,7.7,36.04,275.7742925464886,0,32.549,,0,,0,,13.2,0.0,80.6,59958.94612441465,94564.14,0,-0.6,0,0,0,0.0,-0.1,0.3043093834307941,,906230.0,,0,0,275.7742925464886,85.31218105459635,3185.310355867085,13.72,0.0,85.31218105459635,,54.09268743530953,275.7742925464886,,3185.310355867085,,85.31218105459635,275.7742925464886,,3185.310355867085,
MIDWAY,2024,7,2024-02-12,2024-02-01,1108.448275862069,,,143.7,7.2,7.7,36.04,334.2149351851852,0,32.549,,1,,0,,13.2,0.0,80.6,59958.94612441465,94564.14,1,-0.6,0,0,0,0.0,-0.1,0.2390988017587393,,1397811.0,,0,0,334.2149351851852,85.31218105459635,3629.451935185185,13.72,0.0,85.31218105459635,,54.09268743530953,334.2149351851852,,3629.451935185185,,85.31218105459635,334.2149351851852,,3629.451935185185,
MIDWAY,2024,8,2024-02-19,2024-02-01,1108.448275862069,,,143.7,7.2,7.7,36.04,218.78708333333333,0,32.549,,0,,0,,13.2,0.0,80.6,59958.94612441465,94564.14,0,-0.6,0,0,0,0.0,-0.1,0.3490006050977089,,626896.0,,0,0,218.78708333333333,85.31218105459635,1442.8477685185185,13.72,0.0,85.31218105459635,,54.09268743530953,218.78708333333333,,1442.8477685185185,,85.31218105459635,218.78708333333333,,1442.8477685185185,
MIDWAY,2024,9,2024-02-26,2024-02-01,1108.448275862069,,,143.7,7.2,7.7,36.04,255.1541068769775,0,32.549,,0,,0,,13.2,0.0,80.6,59958.94612441465,94564.14,0,-0.6,0,0,0,0.0,-0.1,0.336943414327395,,757261.0,,0,0,255.1541068769775,85.31218105459635,1952.5709689651965,13.72,0.0,85.31218105459635,,54.09268743530953,255.1541068769775,,1952.5709689651965,,85.31218105459635,255.1541068769775,,1952.5709689651965,
MIDWAY,2024,10,2024-03-04,2024-03-01,1008.2258064516128,,,142.8,10.9,7.7,36.68,257.05298028591847,0,18.266,,0,,0,,11.0,0.0,80.3,63764.12534176326,94564.14,0,-0.4,0,0,0,0.0,-0.6,0.3047684418467751,,843437.0,,0,0,257.05298028591847,93.79262006079028,2883.857609598306,13.63,0.0,93.79262006079028,,63.243893316098585,257.05298028591847,,2883.857609598306,,93.79262006079028,257.05298028591847,,2883.857609598306,
