theta_meta,alpha_meta,theta_gads,alpha_gads,r2_train,r2_valid,r2_test,is_baseline
0.4,0.8,0.2,1.3,0.8845994051477222,0.919777264752639,0.8346000995046143,False
0.4,0.8,0.1,1.3,0.8847195434633263,0.9197739529283415,0.8348677145794441,False
0.4,1.0,0.1,1.6,0.8847271700738071,0.9197658927751998,0.8351181298060502,False
0.4,1.0,0.2,1.6,0.8846032507102017,0.9197582345367168,0.8348478337932523,False
0.3,0.8,0.2,1.3,0.8846637400949913,0.9197537273748119,0.8347551164308216,False
0.3,1.0,0.1,1.6,0.8847933738597765,0.9197528772389909,0.8352611262926996,False
0.5,1.0,0.3,1.6,0.8844125864805841,0.9197520323072441,0.8343831540380549,False
0.3,0.8,0.1,1.3,0.8847826507522321,0.9197503507984414,0.835020461594356,False
0.4,0.8,0.3,1.3,0.8844883836672903,0.9197460200467197,0.8343483797116357,False
0.3,1.0,0.2,1.6,0.8846703943719024,0.9197459109260749,0.8349926320075637,False
0.5,0.8,0.1,1.6,0.8845223216839081,0.9197221090723529,0.8346688186462061,False
0.3,0.8,0.3,1.3,0.8845538546166387,0.9197214296537538,0.834505648761176,False
0.5,0.8,0.2,1.6,0.8843944658922208,0.9197129017891827,0.8343898512791305,False
0.4,1.0,0.3,1.6,0.8844842768986005,0.9197101719654689,0.8345807355174937,False
0.3,1.0,0.3,1.6,0.8845522552646721,0.9196975500224405,0.8347274632784814,False
0.4,0.8,0.1,1.6,0.8845848312308292,0.9196809748699957,0.83485321281943,False
0.4,0.8,0.2,1.6,0.8844581495585787,0.9196716357895831,0.8345773563139671,False
0.5,0.8,0.3,1.6,0.8842713352203498,0.9196659976146677,0.8341134224529068,False
0.3,0.8,0.1,1.6,0.8846501591952706,0.9196557634142221,0.8350071873196195,False
0.3,0.8,0.2,1.6,0.8845245978966132,0.9196468597409456,0.8347335658382404,False
0.4,0.8,0.3,1.6,0.8843362389712736,0.9196230388066492,0.8343043783503981,False
0.3,0.8,0.3,1.6,0.8844037504461928,0.9195974171829944,0.8344629667792316,False
